From,To,Type
mv_101dal,fig_cruella,2
mv_alad,fig_alad,2
mv_alad,fig_beast,4
mv_alad,fig_beast,4
mv_alad,fig_carpet,4
mv_alad,fig_genie,2
mv_alad,fig_glamp,4
mv_alad,fig_goofy,4
mv_alad,fig_goofy,4
mv_alad,fig_jafar,2
mv_alad,fig_mickey,4
mv_alad,fig_mickey,4
mv_alad,fig_pinocchio,4
mv_alad,fig_pinocchio,3
mv_alad,fig_prjas,2
mv_alad,fig_rat,3
mv_alad,fig_sebariell,3
mv_alad,fig_sebariell,3
mv_alad,fig_sultan,2
mv_alice,fig_chcat,2
mv_alice,fig_madhat,2
mv_batb,fig_bammo,4
mv_batb,fig_beast,4
mv_batb,fig_belle,2
mv_batb,fig_headhoho,3
mv_batb,fig_ifpram,4
mv_batb,fig_mickey,4
mv_batb,fig_mickey,4
mv_batb,fig_mickey,4
mv_batb,fig_wardrobe,2
mv_bh6,fig_a113,4
mv_bh6,fig_acall,2
mv_bh6,fig_akrei,2
mv_bh6,fig_ariel,4
mv_bh6,fig_bamx,2
mv_bh6,fig_bolt,4
mv_bh6,fig_chamada,2
mv_bh6,fig_cybug,4
mv_bh6,fig_cybug,4
mv_bh6,fig_ester,4
mv_bh6,fig_fredbh6,2
mv_bh6,fig_ggto,2
mv_bh6,fig_hans,4
mv_bh6,fig_hans,4
mv_bh6,fig_hdty,4
mv_bh6,fig_hdty,1
mv_bh6,fig_hiroham,2
mv_bh6,fig_honlem,2
mv_bh6,fig_nwilde,4
mv_bh6,fig_olaf,4
mv_bh6,fig_otlr,4
mv_bh6,fig_rcall,2
mv_bh6,fig_sfran,4
mv_bh6,fig_sharend,4
mv_bh6,fig_splody,4
mv_bh6,fig_stitch,4
mv_bh6,fig_stitch,4
mv_bh6,fig_thamada,2
mv_bh6,fig_wasabi,2
mv_bh6,fig_winst,4
mv_bh6,fig_wir,4
mv_bh6,fig_wir,4
mv_bh6,fig_wir,4
mv_bh6,mv_zoo,4
mv_bolt,fig_pigeons,3
mv_brbear,fig_nemo,3
mv_brbear,fig_stitch,3
mv_chlit,fig_colscn,4
mv_chlit,fig_mickey,4
mv_chlit,fig_mickey,4
mv_cind,fig_dukecind,2
mv_cind,fig_kingcind,2
mv_dumbo,fig_dumbo,2
mv_elhol,fig_chcat,2
mv_elhol,fig_cruella,2
mv_elhol,fig_daisy,2
mv_elhol,fig_donald,2
mv_elhol,fig_goofy,2
mv_elhol,fig_hook,2
mv_elhol,fig_jafar,2
mv_elhol,fig_madhat,2
mv_elhol,fig_mickey,2
mv_elhol,fig_mickey,2
mv_elhol,fig_patch,2
mv_elhol,fig_ray,2
mv_elhol,fig_snwhite,2
mv_elhol,fig_tiana,2
mv_elhol,fig_tinkbell,2
mv_fant,fig_themb,2
mv_frozen,fig_flyn,2
mv_frozen,fig_marsh,2
mv_frozen,fig_mickey,4
mv_frozen,fig_rapunzel,2
mv_frozen,fig_sharend,2
mv_frozen,fig_surush,4
mv_goofy,fig_goofy,2
mv_hbnd,fig_belle,3
mv_hbnd,fig_belle,2
mv_hbnd,fig_carpet,4
mv_hbnd,fig_carpet,4
mv_hbnd,fig_lon,3
mv_hbnd,fig_lon,2
mv_hbnd,fig_pumbaa,3
mv_hbnd,fig_pumbaa,4
mv_lands,fig_a113,4
mv_lands,fig_cbrbobo,2
mv_lands,fig_cincastle,4
mv_lands,fig_councilw,2
mv_lands,fig_cptgantu,2
mv_lands,fig_dkawena,2
mv_lands,fig_dumbo,4
mv_lands,fig_hasagawa,2
mv_lands,fig_huteach,2
mv_lands,fig_jookiba,2
mv_lands,fig_lilo,2
mv_lands,fig_luxball,4
mv_lands,fig_medmonds,2
mv_lands,fig_mulan,4
mv_lands,fig_muwok,4
mv_lands,fig_nani,2
mv_lands,fig_piglet,2
mv_lands,fig_plikli,2
mv_lands,fig_pshown,2
mv_lands,fig_rescsw,2
mv_lands,fig_stitch,2
mv_lands,fig_tigger,2
mv_lands,fig_tugduck,4
mv_liki,fig_colscn,4
mv_liki,fig_jock,3
mv_liki,fig_pumbaa,2
mv_moana,fig_bamx,4
mv_moana,fig_fabius,4
mv_moana,fig_glamp,4
mv_moana,fig_marsh,4
mv_moana,fig_olaf,4
mv_moana,fig_sdflower,4
mv_moana,fig_sven,2
mv_moana,fig_wir,4
mv_mtr,fig_ttrex,3
mv_nbchr,fig_jskellington,2
mv_nemo,fig_nemo,2
mv_pinocchio,fig_pinocchio,2
mv_poca,fig_lon,2
mv_poca,fig_poca,2
mv_ppan,fig_hook,2
mv_ppan,fig_tinkbell,2
mv_tang,fig_ariel,4
mv_tang,fig_aurora,4
mv_tang,fig_maximus,2
mv_tang,fig_pigeons,3
mv_tang,fig_pinocchio,3
mv_tang,fig_rapunzel,2
mv_tang,fig_sdflower,4
mv_tang,fig_spinwheel,4
mv_tang,fig_themb,4
mv_tang,fig_vladimir,2
mv_tang,fig_wardrobe,4
mv_tang,mv_batb,4
mv_tang,mv_tlmm,4
mv_tarzan,fig_chip,4
mv_tarzan,fig_lbdoll,3
mv_tarzan,fig_mspotts,4
mv_tlmm,fig_ariel,2
mv_tlmm,fig_donald,3
mv_tlmm,fig_donald,3
mv_tlmm,fig_dukecind,3
mv_tlmm,fig_fabius,2
mv_tlmm,fig_fabius,2
mv_tlmm,fig_goofy,3
mv_tlmm,fig_goofy,3
mv_tlmm,fig_kermit,3
mv_tlmm,fig_kermit,3
mv_tlmm,fig_kingcind,3
mv_tlmm,fig_ktrit,2
mv_tlmm,fig_melody,2
mv_tlmm,fig_mickey,3
mv_tlmm,fig_mickey,3
mv_tlmm,fig_preric,2
mv_tlmm,fig_scuttle,2
mv_tlmm,fig_sebariell,2
mv_tlmm,fig_ursula,2
mv_tpatf,fig_a113,4
mv_tpatf,fig_a113,4
mv_tpatf,fig_carpet,4
mv_tpatf,fig_carpet,4
mv_tpatf,fig_facilier,2
mv_tpatf,fig_glamp,4
mv_tpatf,fig_glamp,4
mv_tpatf,fig_jmusker,3
mv_tpatf,fig_jskellington,3
mv_tpatf,fig_jskellington,3
mv_tpatf,fig_ktrit,4
mv_tpatf,fig_lottie,2
mv_tpatf,fig_louis,2
mv_tpatf,fig_modie,2
mv_tpatf,fig_prnaveen,2
mv_tpatf,fig_rapunzel,4
mv_tpatf,fig_ray,2
mv_tpatf,fig_rclements,3
mv_tpatf,fig_tiana,2
mv_tpatf,mv_tang,4
mv_tsby,fig_spinwheel,4
mv_tugduck,fig_tugduck,2
mv_wir,fig_bolt,4
mv_wir,fig_fifj,2
mv_wir,fig_maximus,3
mv_wir,fig_mickey,4
mv_wir,fig_sgtcal,2
mv_wir,fig_surush,4
