from,to,type,ftitle,ttitle
mv_abuli,wr_anst,7,A Bug's Life,Andrew Stanton
mv_abuli,wr_bosh,7,A Bug's Life,Bob Shaw
mv_abuli,pr_daka,8,A Bug's Life,Darla K. Anderson
mv_abuli,wr_domc,7,A Bug's Life,Donald McEnery
mv_abuli,wr_jora,7,A Bug's Life,Joe Ranft
mv_abuli,di_jola,6,A Bug's Life,John Lasseter
mv_abuli,wr_jola,7,A Bug's Life,John Lasseter
mv_abuli,pr_kere,8,A Bug's Life,Kevin Reher
mv_goofy,wr_brpi,7,A Goofy Movie,Brian Pimental
mv_goofy,wr_chma,7,A Goofy Movie,Chris Matheson
mv_goofy,pr_daro,8,A Goofy Movie,Dan Rounds
mv_goofy,wr_jyma,7,A Goofy Movie,Jymn Magon
mv_goofy,di_keli,6,A Goofy Movie,Kevin Lima
mv_alad19,pr_dali,8,Aladdin (2019),Dan Lin
mv_alad19,di_guri,6,Aladdin (2019),Guy Ritchie
mv_alad19,wr_guri,7,Aladdin (2019),Guy Ritchie
mv_alad19,wr_joau,7,Aladdin (2019),John August
mv_alad19,pr_joei,8,Aladdin (2019),Jonathan Eirich
mv_alad,wr_brpi,7,Aladdin (Film),Brian Pimental
mv_alad,wr_buma,7,Aladdin (Film),Burny Mattinson
mv_alad,wr_chsa,7,Aladdin (Film),Chris Sanders
mv_alad,wr_daji,7,Aladdin (Film),Daan Jippes
mv_alad,wr_daro,7,Aladdin (Film),Darrell Rooney
mv_alad,wr_dass,7,Aladdin (Film),David S. Smith
mv_alad,wr_frgl,7,Aladdin (Film),Francis Glebas
mv_alad,wr_jafu,7,Aladdin (Film),James Fujii
mv_alad,di_jomu,6,Aladdin (Film),John Musker
mv_alad,pr_jomu,8,Aladdin (Film),John Musker
mv_alad,wr_jomu,7,Aladdin (Film),John Musker
mv_alad,wr_keha,7,Aladdin (Film),Kevin Harkey
mv_alad,wr_keli,7,Aladdin (Film),Kevin Lima
mv_alad,wr_kiha,7,Aladdin (Film),Kirk Hanson
mv_alad,wr_lale,7,Aladdin (Film),Larry Leker
mv_alad,wr_pave,7,Aladdin (Film),Patrick A. Ventura
mv_alad,wr_rere,7,Aladdin (Film),Rebecca Rees
mv_alad,wr_roal,7,Aladdin (Film),Roger Allers
mv_alad,di_rocl,6,Aladdin (Film),Ron Clements
mv_alad,pr_rocl,8,Aladdin (Film),Ron Clements
mv_alad,wr_rocl,7,Aladdin (Film),Ron Clements
mv_alad,wr_suni,7,Aladdin (Film),Sue Nicholas
mv_alad,wr_teel,7,Aladdin (Film),Ted Elliott
mv_alad,wr_tero,7,Aladdin (Film),Terry Rossio
mv_alad2,pr_jero,8,Aladdin and the King of Thieves,Jeannine Roussel
mv_alad2,wr_maco,7,Aladdin and the King of Thieves,Mark McCorkle
mv_alad2,wr_rosch,7,Aladdin and the King of Thieves,Robert Schooley
mv_alad2,di_tast,6,Aladdin and the King of Thieves,Tad Stones
mv_alad2,pr_tast,8,Aladdin and the King of Thieves,Tad Stones
mv_alice,wr_bipe,7,Alice in Wonderland,Bill Peet
mv_alice,di_clge,6,Alice in Wonderland,Clyde Geronimi 
mv_alice,wr_deco,7,Alice in Wonderland,Del Connell
mv_alice,wr_dihu,7,Alice in Wonderland,Dick Huemer
mv_alice,wr_dike,7,Alice in Wonderland,Dick Kelsey
mv_alice,wr_erpe,7,Alice in Wonderland,Erdman Penner
mv_alice,di_halu,6,Alice in Wonderland,Hamilton Luske
mv_alice,wr_jogr,7,Alice in Wonderland,Joe Grant
mv_alice,wr_jori,7,Alice in Wonderland,Joe Rinaldi
mv_alice,wr_jowa,7,Alice in Wonderland,John Walbridge
mv_alice,wr_miba,7,Alice in Wonderland,Milt Banta
mv_alice,wr_tese,7,Alice in Wonderland,Ted Sears
mv_alice,wr_toor,7,Alice in Wonderland,Tom Oreb
mv_alice,pr_wadi,8,Alice in Wonderland,Walt Disney
mv_alice,di_wija,6,Alice in Wonderland,Wilfred Jackson
mv_alice,wr_wico,7,Alice in Wonderland,William Cottrell
mv_alice,wr_wihi,7,Alice in Wonderland,Winston Hibler
mv_emojii,di_gigu,6,As Told by Emojii,Gino Guzzardo
mv_emojii,pr_gigu,8,As Told by Emojii,Gino Guzzardo
mv_emojii,wr_jamo,7,As Told by Emojii,Jake Monaco
mv_emojii,wr_maja,7,As Told by Emojii,Matthew Janszen
mv_emojii,pr_phba,8,As Told by Emojii,Phil Balisciano
mv_emojii,di_raja,6,As Told by Emojii,Randy Jamison
mv_emojii,pr_rybu,8,As Told by Emojii,Ryan Burns
mv_emojii,wr_webe,7,As Told by Emojii,Wesley Bender
mv_bambi,di_biro,6,Bambi,Bill Roberts
mv_bambi,wr_cafa,7,Bambi,Carl Fallberg
mv_bambi,wr_chco,7,Bambi,Chuck Couch
mv_bambi,di_daha,6,Bambi,David Hand
mv_bambi,di_grhe,6,Bambi,Graham Heid
mv_bambi,di_jaal,6,Bambi,James Algar
mv_bambi,wr_lamo,7,Bambi,Larry Morey
mv_bambi,wr_mesh,7,Bambi,Melvin Shaw
mv_bambi,di_nowr,6,Bambi,Norman Wright
mv_bambi,di_pasa,6,Bambi,Paul Satterfield
mv_bambi,wr_pepe,7,Bambi,Perce Pearce
mv_bambi,wr_rawr,7,Bambi,Ralph Wright
mv_bambi,di_saar,6,Bambi,Samuel Armstrong
mv_bambi,wr_vest,7,Bambi,Vernon Stallings
mv_bambi,pr_wadi,8,Bambi,Walt Disney
mv_bambi6,wr_alki,7,Bambi II,Alicia Kirk
mv_bambi2,di_brpi,6,Bambi II,Brian Pimental
mv_bambi5,pr_daok,8,Bambi II,Dave Okey
mv_bambi4,pr_jemo,8,Bambi II,Jeffrey Moznett
mv_bambi3,pr_jiba,8,Bambi II,Jim Ballantine
mv_batb,wr_brch,7,Beauty and the Beast,Brenda Chapman
mv_batb,wr_brpi,7,Beauty and the Beast,Brian Pimental
mv_batb,wr_brwo,7,Beauty and the Beast,Bruce Woodside
mv_batb,wr_buma,7,Beauty and the Beast,Burny Mattinson
