Von Film,from (ID),zu Mitarbeiter,to (ID),Type
A Bug's Life,mv_abuli,Andrew Stanton,wr_anst,7
A Bug's Life,mv_abuli,Bob Shaw,wr_bosh,7
A Bug's Life,mv_abuli,Darla K. Anderson,pr_daka,8
A Bug's Life,mv_abuli,Donald McEnery,wr_domc,7
A Bug's Life,mv_abuli,Joe Ranft,wr_jora,7
A Bug's Life,mv_abuli,John Lasseter,di_jola,6
A Bug's Life,mv_abuli,John Lasseter,wr_jola,7
A Bug's Life,mv_abuli,Kevin Reher,pr_kere,8
A Goofy Movie,mv_goofy,Brian Pimental,wr_brpi,7
A Goofy Movie,mv_goofy,Chris Matheson,wr_chma,7
A Goofy Movie,mv_goofy,Dan Rounds,pr_daro,8
A Goofy Movie,mv_goofy,Jymn Magon,wr_jyma,7
A Goofy Movie,mv_goofy,Kevin Lima,di_keli,6
Aladdin (2019),mv_alad19,Dan Lin,pr_dali,8
Aladdin (2019),mv_alad19,Guy Ritchie,di_guri,6
Aladdin (2019),mv_alad19,Guy Ritchie,wr_guri,7
Aladdin (2019),mv_alad19,John August,wr_joau,7
Aladdin (2019),mv_alad19,Jonathan Eirich,pr_joei,8
Aladdin (Film),mv_alad,Brian Pimental,wr_brpi,7
Aladdin (Film),mv_alad,Burny Mattinson,wr_buma,7
Aladdin (Film),mv_alad,Chris Sanders,wr_chsa,7
Aladdin (Film),mv_alad,Daan Jippes,wr_daji,7
Aladdin (Film),mv_alad,Darrell Rooney,wr_daro,7
Aladdin (Film),mv_alad,David S. Smith,wr_dass,7
Aladdin (Film),mv_alad,Francis Glebas,wr_frgl,7
Aladdin (Film),mv_alad,James Fujii,wr_jafu,7
Aladdin (Film),mv_alad,John Musker,di_jomu,6
Aladdin (Film),mv_alad,John Musker,pr_jomu,8
Aladdin (Film),mv_alad,John Musker,wr_jomu,7
Aladdin (Film),mv_alad,Kevin Harkey,wr_keha,7
Aladdin (Film),mv_alad,Kevin Lima,wr_keli,7
Aladdin (Film),mv_alad,Kirk Hanson,wr_kiha,7
Aladdin (Film),mv_alad,Larry Leker,wr_lale,7
Aladdin (Film),mv_alad,Patrick A. Ventura,wr_pave,7
Aladdin (Film),mv_alad,Rebecca Rees,wr_rere,7
Aladdin (Film),mv_alad,Roger Allers,wr_roal,7
Aladdin (Film),mv_alad,Ron Clements,di_rocl,6
Aladdin (Film),mv_alad,Ron Clements,pr_rocl,8
Aladdin (Film),mv_alad,Ron Clements,wr_rocl,7
Aladdin (Film),mv_alad,Sue Nicholas,wr_suni,7
Aladdin (Film),mv_alad,Ted Elliott,wr_teel,7
Aladdin (Film),mv_alad,Terry Rossio,wr_tero,7
Aladdin and the King of Thieves,mv_alad2,Jeannine Roussel,pr_jero,8
Aladdin and the King of Thieves,mv_alad2,Mark McCorkle,wr_maco,7
Aladdin and the King of Thieves,mv_alad2,Robert Schooley,wr_rosch,7
Aladdin and the King of Thieves,mv_alad2,Tad Stones,di_tast,6
Aladdin and the King of Thieves,mv_alad2,Tad Stones,pr_tast,8
Alice in Wonderland,mv_alice,Bill Peet,wr_bipe,7
Alice in Wonderland,mv_alice,Clyde Geronimi ,di_clge,6
Alice in Wonderland,mv_alice,Del Connell,wr_deco,7
Alice in Wonderland,mv_alice,Dick Huemer,wr_dihu,7
Alice in Wonderland,mv_alice,Dick Kelsey,wr_dike,7
Alice in Wonderland,mv_alice,Erdman Penner,wr_erpe,7
Alice in Wonderland,mv_alice,Hamilton Luske,di_halu,6
Alice in Wonderland,mv_alice,Joe Grant,wr_jogr,7
Alice in Wonderland,mv_alice,Joe Rinaldi,wr_jori,7
Alice in Wonderland,mv_alice,John Walbridge,wr_jowa,7
Alice in Wonderland,mv_alice,Milt Banta,wr_miba,7
Alice in Wonderland,mv_alice,Ted Sears,wr_tese,7
Alice in Wonderland,mv_alice,Tom Oreb,wr_toor,7
