From,To,Type
fig_a113,mv_bh6,4
fig_a113,mv_brave,4
fig_a113,mv_brave,4
fig_a113,mv_cars,4
fig_a113,mv_cars,4
fig_a113,mv_cars2,4
fig_a113,mv_cars2,4
fig_a113,mv_cars2,4
fig_a113,mv_inc,4
fig_a113,mv_irongiant,4
fig_a113,mv_lands,4
fig_a113,mv_monstersuni,4
fig_a113,mv_nemo,4
fig_a113,mv_ratatou,4
fig_a113,mv_simpsons,4
fig_a113,mv_simpsons,4
fig_a113,mv_simpsons,4
fig_a113,mv_toaster,4
fig_a113,mv_toyst,4
fig_a113,mv_tpatf,4
fig_a113,mv_up,4
fig_a113,mv_walle,4
fig_a113,mv_walle,4
fig_adavis,mv_kinhrts,4
fig_adavis,mv_toyst,2
fig_adavis,mv_toyst2,2
fig_adavis,mv_toyst3,2
fig_adavis,mv_toyst4,2
fig_alpha,mv_toyst4,3
fig_alpha,mv_up,2
fig_angler,mv_nemo,3
fig_angler,mv_up,3
fig_annacloth,mv_frozen,4
fig_annacloth,mv_zoo,4
fig_annadoll,mv_frozen,4
fig_annadoll,mv_ralphbrk,4
fig_annafroz,mv_frozen,2
fig_annafroz,mv_ralphbrk,3
fig_annarhors,mv_frozen,4
fig_annarhors,mv_ralphbrk,4
fig_arendelle,mv_bh6,4
fig_arendelle,mv_frozen,2
fig_arendelle,mv_ralphbrk,4
fig_ariel,mv_bedtime,2
fig_ariel,mv_goofy,4
fig_ariel,mv_goofy,4
fig_ariel,mv_ralphbrk,3
fig_ariel,mv_tlmm,2
fig_arlo,mv_inout,4
fig_arlo,mv_monstersuni,3
fig_arlo,mv_ralphbrk,2
fig_arlo,mv_tgoodi,2
fig_arlo,mv_toyst4,4
fig_audwoo,mv_housemouse,2
fig_audwoo,mv_ralphbrk,3
fig_aurora,mv_olicomp,3
fig_aurora,mv_ralphbrk,3
fig_aurora,mv_tsby,2
fig_bagheera,mv_housemouse,3
fig_bagheera,mv_jungle,2
fig_bagheera,mv_jungle2,2
fig_baloo,mv_housemouse,3
fig_baloo,mv_jungle,2
fig_baloo,mv_jungle2,2
fig_baloo,mv_liki2,3
fig_baloo,mv_mtr,4
fig_bambi,mv_bambi,2
fig_bambi,mv_bambi2,2
fig_bambi,mv_frween,4
fig_bambi,mv_goofy,4
fig_bambi,mv_ralphbrk,4
fig_bambi,mv_resc,3
fig_bambi,mv_zoo,4
fig_bammo,mv_bambi,2
fig_bammo,mv_bambi2,2
fig_bammo,mv_jungle,3
fig_bammo,mv_swits,3
fig_bamx,mv_bh6,2
fig_bamx,mv_moana,4
fig_bamx,mv_ralphbrk,3
fig_bamx,mv_ralphbrk,3
fig_bamx,mv_zoo,4
fig_beast,mv_alad,4
fig_beast,mv_batb,2
fig_bellcom,mv_ralphbrk,4
fig_bellcom,mv_zoo,4
fig_belle,mv_batb,2
fig_belle,mv_hbnd,3
fig_belle,mv_ralphbrk,3
fig_beta,mv_toyst4,3
fig_beta,mv_up,2
fig_bigh6mov,mv_bh6,1
fig_bigh6mov,mv_zoo,1
fig_billiz,mv_alice,2
fig_billiz,mv_tgmouse,3
fig_binanest,mv_bambi,2
fig_binanest,mv_resc,3
fig_blackcaul,mv_blcaul,3
fig_blfair,mv_pinocchio,2
fig_blfair,mv_teapet,3
fig_bobble,mv_piratefair,3
fig_bobble,mv_secotw,2
fig_bolt,mv_bh6,4
fig_bolt,mv_bolt,2
fig_bolt,mv_wir,4
fig_boris,mv_101dal61,3
fig_boris,mv_lattr,2
fig_boysq,mv_foxho,3
fig_boysq,mv_swits,2
fig_brombon,mv_ichtoad,3
fig_bruce,mv_inc,4
fig_bruce,mv_nemo,2
fig_bulleye,mv_mtr,4
fig_bulleye,mv_toyst,2
fig_bulltr,mv_101dal61,3
fig_bulltr,mv_lattr,2
fig_buzzlight,mv_bedtime,3
fig_buzzlight,mv_cars,4
fig_buzzlight,mv_coco,3
fig_buzzlight,mv_nemo,3
fig_buzzlight,mv_ralphbrk,4
fig_buzzlight,mv_ralphbrk,4
fig_buzzlight,mv_toyst,2
fig_buzzlight,mv_toyst2,2
fig_buzzlight,mv_toyst3,2
fig_buzzlight,mv_toyst4,2
fig_candy,mv_frozen,4
fig_candy,mv_wir,2
fig_carlshouse,mv_ralphbrk,4
fig_carlshouse,mv_up,4
fig_charl,mv_toyst4,3
fig_charl,mv_up,2
fig_cherna,mv_fant,2
fig_cherna,mv_fant2,3
fig_chewy,mv_ralphbrk,4
fig_chewy,mv_starwars,2
fig_chip,mv_batb,2
fig_chip,mv_tarzan,4
fig_chrisrobin,mv_chrrob,2
fig_chrisrobin,mv_mapooh,2
fig_chrisrobin,mv_pigbm,2
fig_chrisrobin,mv_tiggermv,2
fig_chug,mv_planefr,2
fig_chug,mv_planes,2
fig_cincastle,mv_cind,4
fig_cincastle,mv_lands,4
fig_cind,mv_cind,2
fig_cind,mv_ralphbrk,3
fig_clank,mv_piratefair,2
fig_clank,mv_secotw,2
fig_crocodiles,mv_fant2,3
fig_crocodiles,mv_resc,3
fig_daisyduck,mv_ducktls,2
fig_daisyduck,mv_fant2,2
fig_daisyduck,mv_musketeers,2
fig_daisyduck,mv_ouach,2
fig_daisyduck,mv_tuach,2
fig_daisyduck,mv_whofrrr,3
fig_dante,mv_coco,2
fig_darla,mv_dory,3
fig_darla,mv_nemo,2
fig_darla,mv_toyst3,4
fig_dogwagon,mv_lattr,3
fig_dogwagon,mv_tgmouse,4
fig_donald,mv_ducktls,4
fig_donald,mv_fant2,2
fig_donald,mv_flubber,4
fig_donald,mv_funff,2
fig_donald,mv_goofy,3
fig_donald,mv_jampch,3
fig_donald,mv_liki2,3
fig_donald,mv_musketeers,2
fig_donald,mv_ouach,2
fig_donald,mv_salam,2
fig_donald,mv_thrcab,4
fig_donald,mv_tlmm,3
fig_donald,mv_tuach,2
fig_donald,mv_whofrrr,2
fig_donald,mv_wisehen,2
fig_dory,mv_dory,2
fig_dory,mv_nemo,2
fig_duckduck,mv_bambi,2
fig_duckduck,mv_foxho,3
fig_dug,mv_ratatou,3
fig_dug,mv_toyst4,3
fig_dug,mv_up,2
fig_dukecind,mv_cind,2
fig_dukecind,mv_tlmm,3
fig_dumbo,mv_dumbo,2
fig_dumbo,mv_lands,4
fig_dumbo,mv_ralphbrk,4
fig_dumbo,mv_tgmouse,4
fig_duseze,mv_cars,2
fig_duseze,mv_cars3,2
fig_duseze,mv_planefr,2
fig_eeyore,mv_heffalump,2
fig_eeyore,mv_mapooh,2
fig_eeyore,mv_mapooh,3
fig_eeyore,mv_pigbm,2
fig_eeyore,mv_ralphbrk,4
fig_eeyore,mv_tiggermv,2
fig_elsacl,mv_frozen,4
fig_elsacl,mv_zoo,4
fig_elsafr,mv_frozen,2
fig_elsafr,mv_ralphbrk,4
fig_elsafr,mv_ralphbrk,3
fig_ester,mv_bh6,4
fig_ester,mv_bolt,2
fig_evilqn,mv_nbchr,3
fig_evilqn,mv_snow,2
fig_fipin,mv_alice,2
fig_fipin,mv_pinocchio,2
fig_fivebear,mv_cbears,2
fig_fivebear,mv_tiggermv,3
fig_flash,mv_ralphbrk,4
fig_flash,mv_zoo,4
fig_flik,mv_abuli,2
fig_flik,mv_cars,4
fig_flik,mv_toyst2,4
fig_flounder,mv_jungle2,3
fig_flounder,mv_tlmm,2
fig_flyn,mv_frozen,3
fig_flyn,mv_tang,2
fig_forwood,mv_inout,4
fig_forwood,mv_tgoodi,2
fig_frankrd,mv_fant2,3
fig_frankrd,mv_resc2,2
fig_frankth,mv_salam,2
fig_fredbh6,mv_bh6,2
fig_fredbh6,mv_ralphbrk,3
fig_fredbh6,mv_ralphbrk,4
fig_fredbh6,mv_ralphbrk,4
fig_froz2mov,mv_frozen2,1
fig_froz2mov,mv_zoo,4
fig_gamma,mv_toyst,3
fig_gamma,mv_up,2
fig_ggto,mv_bh6,2
