From,To,Type
mv_moana,wr_aaka,7
mv_heffalump,wr_aami,7
mv_pigbm,wr_aami,7
mv_coco,wr_admo,7
mv_gigantic,wr_adna,7
mv_ducktls,wr_albu,7
mv_lands2,wr_alju,7
mv_bambi6,wr_alki,7
mv_ouach,wr_alma,7
mv_chrrob,wr_alrope,7
mv_wondersdeep,wr_alrr,7
mv_chrrob,wr_alsch,7
mv_frozen2,wr_alsch,7
mv_blcaul,wr_alwi,7
mv_liki,wr_anga,7
mv_lands2,wr_anle,7
mv_toystterr,wr_anma,7
mv_abuli,wr_anst,7
mv_dory,wr_anst,7
mv_monsters,wr_anst,7
mv_nemo,wr_anst,7
mv_toyst,wr_anst,7
mv_toyst2,wr_anst,7
mv_toyst3,wr_anst,7
mv_toyst4,wr_anst,7
mv_ironman,wr_arma,7
mv_blcaul,wr_arst,7
mv_toyst2,wr_asbr,7
mv_pinocchio,wr_auba,7
mv_mtr,wr_aure,7
mv_liki,wr_bajo,7
mv_cars2,wr_bequ,7
mv_cars3,wr_bequ,7
mv_tuach,wr_bimo,7
mv_101dal65,wr_bipe,7
mv_alice,wr_bipe,7
mv_cind,wr_bipe,7
mv_jungle,wr_bipe,7
mv_ppan,wr_bipe,7
mv_swits,wr_bipe,7
mv_thrcab,wr_bipe,7
mv_tsby,wr_bipe,7
mv_teapet,wr_bist,7
mv_merpop,wr_biwa,7
mv_piratefair,wr_boga,7
mv_planefr,wr_boga,7
mv_secotw,wr_boga,7
mv_stitch,wr_boga,7
mv_jjatt,wr_bong,7
mv_cars3,wr_bope,7
mv_nemo,wr_bope,7
mv_tgoodi,wr_bope,7
mv_up,wr_bope,7
mv_abuli,wr_bosh,7
mv_hercules,wr_bosh,7
mv_tarzan,wr_botzu,7
mv_inc,wr_brbi,7
mv_inc2,wr_brbi,7
mv_irongiant,wr_brbi,7
mv_jjatt,wr_brbi,7
mv_ratatou,wr_brbi,7
mv_batb,wr_brch,7
mv_brave,wr_brch,7
mv_cars3,wr_brfe,7
mv_heffalump,wr_brho,7
mv_pigbm,wr_brho,7
mv_zoo,wr_brho,7
mv_brbear,wr_brjo,7
mv_cars2,wr_brle,7
mv_hercules,wr_brmo,7
mv_poca,wr_brmo,7
mv_tgmouse,wr_brmo,7
mv_alad,wr_brpi,7
mv_batb,wr_brpi,7
mv_goofy,wr_brpi,7
mv_batb,wr_brwo,7
mv_alad,wr_buma,7
mv_batb,wr_buma,7
mv_foxho,wr_buma,7
mv_liki,wr_buma,7
mv_poca,wr_buma,7
mv_resc,wr_buma,7
mv_tgmouse,wr_buma,7
mv_resc2,wr_bysi,7
mv_poca,wr_cabi,7
mv_gepetto,wr_caco,7
mv_ouach,wr_cacr,7
mv_bambi,wr_cafa,7
mv_tuach,wr_caho,7
mv_mmmus,wr_capa,7
mv_nbchr,wr_cath,7
mv_olicomp,wr_chba,7
mv_frozen,wr_chbu,7
mv_poca,wr_chbu,7
mv_bambi,wr_chco,7
mv_ouach,wr_chco,7
mv_tuach,wr_chcr,7
mv_goofy,wr_chma,7
mv_looney,wr_chmachjo,7
mv_alad,wr_chsa,7
mv_batb,wr_chsa,7
mv_lands,wr_chsa,7
mv_liki,wr_chsa,7
mv_mulan,wr_chsa,7
mv_teapet,wr_chst,7
mv_bolt,wr_chwi,7
