id,name,art,prod,year,income,,
di_jomu,John Musker Director,6,2,99,,,
di_rocl,Ron Clements Director,6,2,99,,,
fig_a113,A113,4,3,99,,,
fig_abgabb,Abigail Gabble,2,2,99,,,
fig_abu,Abuelita,2,3,99,,,
fig_acall,Abigail Callaghan,2,3,99,,,
fig_adavis,Andy Davis,2,3,99,,,
fig_adele,Adele,2,2,99,,,
fig_akela,Akela,2,2,99,,,
fig_akrei,Alistair Krei,2,3,99,,,
fig_alad,Aladdin,2,2,99,,,
fig_alanad,Alan-A-Dale,2,8,99,,,
fig_alflin,Alfredo Linguini,2,3,99,,,
fig_alice,Alice,2,8,99,,,
fig_alisis,Alices sister,2,8,99,,,
fig_almcwhi,Al McWhiggin,2,3,99,,,
fig_almira,Almirante,2,1,99,,,
fig_alpha,Alpha,2,3,99,,,
fig_alsleech,Al Sleech,2,1,99,,,
fig_ambassador,Ambassador,2,3,99,,,
fig_ambmi,Ambrister Minion,2,3,99,,,
fig_amgabb,Amelia Gabble,2,2,99,,,
fig_amladtr,Am,2,8,99,,,
fig_amoss,Amos Slade,2,8,99,,,
fig_anch,Anchor,2,3,99,,,
fig_andre,Andre,2,2,99,,,
fig_angelo,Angelo,2,6,99,,,
fig_anger,Anger,2,3,99,,,
fig_angler,Anglerfish,2,3,99,,,
fig_anmcba,Angus MacBadger,2,8,99,,,
fig_annacloth,Annas clothes,4,2,99,,,
fig_annadoll,Annas doll,4,2,99,,,
fig_annafroz,Anna,2,2,99,,,
fig_annarhors,Annas rocking horse,4,2,99,,,
fig_anteg,Anton Ego,2,3,99,,,
fig_antres,Anastasia Tremaine,2,8,99,,,
fig_arabi,Aracuan Bird,2,1,99,,,
fig_archimedes,Archimedes,2,8,99,,,
fig_arendelle,Arendelle,2,2,99,,,
fig_ariel,Ariel,2,2,99,,,
fig_aristoduch,Duchess Aristocats,2,8,99,,,
fig_arlo,Arlo,2,3,99,,,
fig_artmonuni,Art,2,3,99,,,
fig_artpe,Arthur Pendragon,2,8,99,,,
fig_ashspi,Ashley Spinelli,2,2,99,,,
fig_atta,Princess Atta,2,99,99,,,
fig_audwoo,J. Audubon Woodlore,2,2,99,,,
fig_august,Auguste Gusteau,2,3,99,,,
fig_auntena,Aunt Ena,2,2,99,,,
fig_auntsarah,Aunt Sarah,2,8,99,,,
fig_aurora,Aurora,2,2,99,,,
fig_avalanche,Avalanche,2,2,99,,,
fig_babyherman,Baby Herman,2,6,99,,,
fig_bagheera,Bagheera,2,1,99,,,
fig_bailey,Bailey,2,3,99,,,
fig_baloo,Baloo,2,1,99,,,
fig_bambi,Bambi,2,2,99,,,
fig_bammo,Bambi's Mother,2,2,99,,,
fig_bamx,Baymax,2,2,99,,,
fig_barbie,Barbie,2,3,99,,,
fig_barryang,Barry Anger,2,2,99,,,
fig_bashful,Bashful,2,2,99,,,
fig_bbunny,Bugs Bunny,2,6,99,,,
fig_bcutlass,Bob Cutlass,2,3,99,,,
fig_beast,Beast,2,2,99,,,
fig_beaver,Beaver,2,8,99,,,
fig_becdet,Becky Detweiler,2,2,99,,,
fig_beebe,Beebe Bluff,2,2,99,,,
fig_bellcom,Bellwether's coffee mug,4,2,99,,,
fig_belle,Belle,2,2,99,,,
fig_benali,Ben Ali Gator,2,2,99,,,
fig_bencab,Benny the Cab,2,6,99,,,
fig_bentbea,Bentina Beakley,2,2,99,,,
fig_berlioz,Berlioz,2,8,99,,,
fig_bernado,Bernado,2,2,99,,,
fig_bernard,Bernard,2,1,99,,, 
fig_bernkro,Bernie Kropp,2,3,99,,,
fig_berto,Tio Berto,2,3,99,,,
fig_beta,Beta,2,3,99,,,
fig_bettyboo,Betty Boop,2,6,99,,,
fig_bibawo,Big Bad Wolf,2,6,99,,,
fig_bibo,Bing Bong,2,3,99,,,
fig_bigb,Big Baby,2,3,99,,,
fig_bigfoot,Bigfoot,2,1,99,,,
fig_bigh6mov,Big Hero 6,1,2,99,,,
fig_bigmam,Big Mama,2,8,99,,,
fig_bigred,Big Red,2,3,99,,,
fig_billiz,Bill the Lizard,2,8,99,,,
fig_billyrussian,Billy Boss the Russian Cat,2,8,99,,,
fig_binanest,Bird in a nest,2,2,99,,,
fig_binatree,Bird in a tree,2,8,99,,,
fig_blackcaul,Eilonwy,2,1,99,,,
fig_blackout,Blackout,2,2,99,,,
fig_blarang,Blade Ranger,2,2,99,,,
fig_blfair,The Blue Fairy,2,8,99,,,
fig_blo,Bloat,2,3,99,,,
fig_bluffag,Bluff Agent,2,2,99,,,
fig_bobble,Bobble,2,2,99,,,
fig_bobparr,Bob Parr,2,3,99,,,
fig_bobswift,Bobby Swift,2,3,99,,,
fig_bodad,Bonnies' Dad,2,3,99,,,
fig_bolt,Bolt,2,2,99,,,
fig_bombvoy,Bomb Voyage,2,3,99,,,
fig_bomom,Bonnie's Mom,2,3,99,,,
fig_bongo,Bongo,2,1,99,,,
fig_bonito,Bonito,2,8,99,,,
fig_bonnie,Bonnie,2,3,99,,,
fig_boo,Mary Boo Gibbs,2,3,99,,,
fig_boomer,Boomer,2,1,99,,,
fig_bopeep,Bo Peep,2,3,99,,,
fig_boris,Boris,2,8,99,,,
fig_boysq,A boy Squirrel,2,8,99,,,
fig_bravopl,Bravo,2,2,99,,,
fig_briyard,Brick Yardley,2,3,99,,,
fig_brombon,Brom Bones,2,8,99,,,
fig_bropea,Brock Pearson,2,3,99,,,
fig_bruce,Bruce,2,3,99,,,
fig_bruno,Bruno,2,8,99,,,
fig_brutus,Brutus,2,2,99,,,
fig_bub,Bubbles,2,3,99,,,
fig_buck,Buck,2,2,99,,,
fig_bulldog,Bulldog,2,2,99,,,
fig_bulleye,Bullseye,2,3,99,,,
fig_bulltr,Bull,2,8,99,,,
fig_bully,Bully,2,3,99,,,
fig_bunny,Bunny,2,3,99,,,
fig_busdriv,Bus driver,2,3,99,,,
fig_but,Butch,2,3,99,,,
fig_buzzlight,Buzz Lightyear,2,3,99,,,
fig_cabbie,Cabbie,2,2,99,,,
fig_cadspin,Cad Spinner,2,2,99,,,
fig_candy,Candy,2,2,99,,,
fig_captain,Captain,2,1,99,,,
fig_cardpaint,Card Painters,2,8,99,,,
fig_carlshouse,Carl's house,4,3,99,,,
fig_carmoli,Carmen Molina,2,1,99,,,
fig_carrie,Carrie Williams,2,3,99,,,
fig_casey,Casey Junior,2,1,99,,,
fig_caterpillar,Caterpillar,2,8,99,,,
fig_cbrbobo,Cobra Bobo,2,2,99,,,
fig_celmae,Celia Mae,2,3,99,,,
fig_cgirlem,Cool Girl's emotions,2,3,99,,,
fig_chad,Chad,2,2,99,,,
fig_chalk,Chalky,2,2,99,,,
fig_charl,Charles F. Muntz,2,3,99,,,
fig_charliedory,Charlie,2,3,99,,,
fig_charlmc,Charlie McCarthy,2,2,99,,,
fig_chase,Chase,2,1,99,,,
fig_checat,Cheshire Cat,2,8,99,,,
fig_chefskin,Chef Skinner,2,3,99,,,
fig_cherna,Chernabog,2,2,99,,,
fig_chetalex,Chet Alexander,2,3,99,,,
fig_chewy,Chewbacca,2,5,99,,,
fig_chfish,Chickenfish,2,3,99,,,
fig_chhicks,Chick Hicks,2,3,99,,,
fig_chich,Chicharron,2,3,99,,,
fig_chiefhound,Chief,2,2,99,,,
fig_chip,Chip,2,2,99,,,
fig_chrisrobin,Christopher Robin,2,8,99,,,
fig_chug,Chug,2,2,99,,,
fig_cincastle,Cinderella's Castle,2,8,99,,,
fig_cind,Cinderella,2,8,99,,,
fig_cinddoor,Doorman,2,8,99,,,
fig_clairewheeler,Claire Wheeler,2,3,99,,,
fig_clank,Clank,2,1,99,,,
fig_clowndumb,Clown,2,1,99,,,
fig_colcow,Colin Cowling,2,2,99,,,
fig_coldalm,Colonel,2,1,99,,,
fig_colhath,Colonel Hathi,2,1,99,,,
fig_collie,Collie,2,1,99,,,
fig_colscn,Circle of Life Scene,2,1,99,,,
fig_conniedo,Connie,2,1,99,,,
fig_copper,Copper,2,1,99,,,
fig_coral,Coral,2,3,99,,,
fig_correct,Corrections Officer,2,3,99,,,
fig_cptcroco,Captain Crocodile,2,1,99,,,
fig_cptgantu,Captain Gantu,2,2,99,,,
fig_crab,Crab,2,3,99,,,
fig_creeper,Creeper,2,2,99,,,
fig_crocodiles,Crocodiles,2,2,99,,,
fig_cruella,Cruella De Vil,2,1,99,,,
fig_crush,Crush,2,3,99,,,
fig_cruz,Cruz Ramirez,2,3,99,,,
fig_cubby,Cubby,2,2,99,,,
fig_cvbark,Carnival Barker,2,2,99,,,
fig_cybug,Cy-Bug,2,2,99,,,
fig_cyril,Cyril Proudbottom,2,8,99,,,
fig_dachsie,Dachsie,2,8,99,,,
fig_daffy,Daffy Duck,2,6,99,,,
fig_daisyduck,Daisy Duck,2,1,99,,,
fig_dallben,Dallben,2,1,99,,,
fig_dalmduch,Duchess,2,1,99,,,
fig_danny,Danny,2,1,99,,,
fig_dante,Dante,2,3,99,,,
fig_darla,Darla,2,3,99,,,
fig_darling,Darling,2,8,99,,,
fig_dashiell,Dashiell Dash Parr,2,3,99,,,
fig_dcaboom,Duke Caboom,2,3,99,,,
fig_dcartr,Darrell Cartrip,2,3,99,,,
fig_deacon,Deacon owl,2,2,99,,,
fig_deadeye,Deadeye,2,2,99,,,
fig_deanabi,Dean Abigail Hardscrabble,2,3,99,,,
fig_debdory,Deb,2,3,99,,,
fig_dennispet,Dennis,2,2,99,,,
fig_dent,The Dentist,2,3,99,,,
fig_depagent,Departure Agent,2,3,99,,,
fig_destiny,Destiny,2,3,99,,,
fig_detective1,Detective No.1,2,3,99,,,
fig_detective2,Detective No. 2,2,3,99,,,
fig_deweyvan,Dewey Vanderquack,2,1,99,,,
fig_deweywing,Dewey,2,1,99,,,
fig_diablo,Diablo,2,2,99,,,
fig_diesel,Diesel,2,1,99,,,
fig_digger,Digger,2,2,99,,,
fig_dijon,Dijon,2,1,99,,,
fig_dim,Dim,2,3,99,,,
fig_dirtdaw,Dirty Dawson,2,1,99,,,
fig_dis,Disgust,2,3,99,,,
fig_dja,Django,2,3,99,,,
fig_dkawena,Dawid Kawena,2,2,99,,,
fig_dni,Dniky,2,1,99,,,
fig_dochud,Doc Hudson,2,3,99,,,
fig_docsw,Doc,2,2,99,,,
fig_dogwagon,Dog wagon,2,8,99,,,
fig_doli,Doli,2,1,99,,,
fig_dolores,Dolores,2,6,99,,,
fig_donald,Donald Duck,2,1,99,,,
fig_doncarlton,Don Carlton,2,3,99,,,
fig_donhid,Don Hidalgo,2,6,99,,,
fig_dopey,Dopey,2,2,99,,,
fig_doraluz,Dora Luz,2,1,99,,,
fig_dormouse,Dormouse,2,8,99,,,
fig_dory,Dory,2,3,99,,,
fig_dot,Dot,2,3,99,,,
