id,name,art,prod,year,income
fig_a113,A113,2,,,
fig_adavis,Andy Davis,2,,,
fig_alpha,Alpha,2,,,
fig_angler,Anglerfish,2,,,
fig_annacloth,Annas clothes,4,,,
fig_annadoll,Annas doll,4,,,
fig_annafroz,Anna,2,,,
fig_annarhors,Annas rocking horse,4,,,
fig_anteg,Anton Ego,2,,,
fig_antres,Anastasia Tremaine,2,,,
fig_arendelle,Arendelle,2,,,
fig_ariel,Ariel,2,,,
fig_arlo,Arlo,2,,,
fig_bagheera,Bagheera,2,,,
fig_baloo,Baloo,2,,,
fig_bambi,Bambi,2,,,
fig_bammo,Bambi's Mother,2,,,
fig_bamx,Baymax,2,,,
fig_beast,Beast,2,,,
fig_bellcom,Bellwether's coffee mug,4,,,
fig_belle,Belle,2,,,
fig_beta,Beta,2,,,
fig_bigh6mov,Big Hero 6,1,,,
fig_billiz,Bill the Lizard,2,,,
fig_billyrussian,Billy Boss the Russian Cat,2,,,
fig_binanest,Bird in a nest,2,,,
fig_blackcaul,Eilonwy,2,,,
fig_blfair,The Blue Fairy,2,,,
fig_bobble,Bobble,2,,,
fig_bolt,Bolt,2,,,
fig_boris,Boris,2,,,
fig_boysq,A boy Squirrel,2,,,
fig_bruce,Bruce,2,,,
fig_bruno,Bruno,2,,,
fig_brutus,Brutus,2,,,
fig_bub,Bubbles,2,,,
fig_bulleye,Bullseye,2,,,
fig_bulltr,Bull,2,,,
fig_buzzlight,Buzz Lightyear,2,,,
fig_candy,Candy,2,,,
fig_captain,Captain,2,,,
fig_carlshouse,Carl's house,4,,,
fig_charl,Charles F. Muntz,2,,,
fig_chewy,Chewbacca,2,,,
fig_chip,Chip,2,,,
fig_chrisrobin,Christopher Robin,2,,,
fig_chug,Chug,2,,,
fig_cincastle,Cinderella's Castle,2,,,
fig_cind,Cinderella,2,,,
fig_cinddoor,Doorman,2,,,
fig_clank,Clank,2,,,
fig_crocodiles,Crocodiles,2,,,
fig_daisyduck,Daisy Duck,2,,,
fig_dante,Dante,2,,,
fig_darla,Darla,2,,,
fig_dogwagon,Dog wagon,2,,,
fig_donald,Donald Duck,2,,,
fig_dory,Dory,2,,,
fig_dug,Dug,2,,,
fig_dukecind,The Grand Duke,2,,,
fig_dumbo,Dumbo,2,,,
fig_dumm,The Dummies,2,,,
fig_duseze,Dusty Rust-eze,2,,,
fig_eeyore,Eeyore,2,,,
fig_elsacl,Elsa's clothes,4,,,
fig_elsafr,Elsa,2,,,
fig_ester,Ester,2,,,
fig_evilqn,Evil Queen as Witch,2,,,
fig_fipin,The fishes watching Pinocchio,2,,,
fig_fivebear,Five Bear Rugs,2,,,
fig_flash,Flash's coffe mug,4,,,
fig_flik,Flik,2,,,
fig_flounder,Flounder,2,,,
fig_flyn,Flynn Rider,2,,,
fig_forwood,Forrest Woodbush,2,,,
fig_frankrd,Frank,2,,,
fig_frankth,Frank Thomas,2,,,
fig_fredbh6,Fred,2,,,
fig_froz2mov,Frozen 2 cover,1,,,
fig_gamma,Gamma,2,,,
fig_ggto,Go Go Tomago,2,,,
fig_giganticmov,Gigantic cover,1,,,
fig_glamp,Genie's Lamp,2,,,
fig_gliss,Gliss,2,,,
fig_goofy,Goofy,2,,,
fig_grduke,Grand Duke,2,,,
fig_grumpy,Grumpy,2,,,
fig_guscind,Gus,2,,,
fig_guste,Gusteau's,4,,,
fig_guygr,Guy Graham,2,,,
fig_gyp,Gypsy,2,,,
fig_hamm,Hamm,2,,,
fig_hans,Hans,2,,,
fig_hathi,Hathi,2,,,
fig_hdty,Hero's Duty,2,,,
fig_hec,Hector,2,,,
fig_heihei,Heihei,2,,,
fig_heiml,Heimlich,2,,,
fig_henwat,Henry J. Waternoose III,2,,,
fig_hiroham,Hiro Hamada,2,,,
fig_honlem,Honey Lemon,2,,,
fig_hooccar,Hook,2,,,
fig_hook,Captain Hook,2,,,
fig_horsemax,Horse Maximus,2,,,
fig_jafar,Jafar,2,,,
fig_jaqcind,Jaq,2,,,
fig_jessie,Jessie the Yodeling Cowgirl,2,,,
fig_jimcrick,Jiminy Cricket,2,,,
fig_jmusker,John Musker,2,,,
fig_jock,Jock,2,,,
fig_johndarl,John Darling,2,,,
fig_johnworth,John Worthington Foulfellow,2,,,
fig_josecari,Jose Carioca,2,,,
fig_jskellington,Jack Skellington,2,,,
fig_judgehopps,Judy Hopps,2,,,
fig_kagn,King Agnarr,2,,,
fig_kermit,Kermit the Frog,2,,,
fig_ktrit,King Triton,2,,,
fig_lbdoll,Little Brother Doll,2,,,
fig_lcatcaf,Lucky Cat Cafe,2,,,
fig_leadbot,Leadbottom,2,,,
fig_leeblair,Lee Blair,2,,,
fig_lenahy,Lena Hyena,2,,,
fig_lmcqueen,Lightning McQueen,2,,,
fig_lohbear,Lots-O'-Huggin' Bear,2,,,
fig_lon,Lon,2,,,
fig_luxball,Ball from Luxo,2,,,
fig_madhat,Mad Hatter,2,,,
fig_marsh,Marshmallow,2,,,
fig_mdavis,Molly Davis,2,,,
fig_megpap,Meg,2,,,
fig_merida,Merida,2,,,
fig_mfhook,Maui's fish hook,2,,,
fig_mia,Mia,2,,,
fig_mickey,Mickey Mouse,2,,,
fig_mike,Mike Wazowski,2,,,
fig_minnie,Minnie Mouse,2,,,
fig_mmeade,Madame Adelaide Bonfamille,2,,,
fig_mmemed,Madame Medusa,2,,,
fig_moana,Moana,2,,,
fig_moanamov,Moana cover,1,,,
fig_mochi,Mochi,2,,,
fig_mothpega,Mother Pegasus,2,,,
fig_motunui,Motunui,2,,,
fig_mrbiglimo,Mr. Big's Limoservice,4,,,
fig_mrspotts,Mrs. Potts,2,,,
fig_mulan,Mulan,2,,,
fig_mulanmov,Mulan poster,1,,,
fig_nemo,Nemo,2,,,
fig_nwilde,Nick Wilde,2,,,
fig_olaf,Olaf,2,,,
fig_otlr,Oswald the Lucky Rabbit,2,,,
fig_owl,Owl,2,,,
fig_pascal,Pascal,2,,,
fig_pearl,Pearl,2,,,
fig_peglad,Peg,2,,,
fig_penguin,Penguin Waiters,2,,,
fig_periwi,Periwinkle,2,,,
fig_peterpan,Peter Pan,2,,,
fig_pheas,Pheasant,2,,,
fig_pigeons,The Pigeons,2,,,
fig_piglet,Piglet,2,,,
fig_pinocchio,Pinocchio,2,,,
fig_poca,Pocahontas,2,,,
fig_pongo,Pongo,2,,,
fig_porcupine,Porcupine,2,,,
fig_prjas,Princess Jasmine,2,,,
fig_profragan,Professor Ratigan,2,,,
fig_pttp,Speech Power to the Puppies,4,,,
fig_pumbaa,Pumbaa,2,,,
fig_r2d2,R2-D2,2,,,
fig_rabbit,Rabbit,2,,,
fig_rapfryingpan,Rapunzel's frying pan,2,,,
fig_rapunzel,Rapunzel,2,,,
fig_rat_ladytrump,Rat,2,,,
fig_ray,Ray,2,,,
fig_rclements,Ron Clements (Fig),2,,,
fig_remy,Remy,2,,,
fig_rex,Rex,2,,,
fig_ril,Riley Andersen,2,,,
fig_rocketraccoon,Rocket Raccoon,2,,,
fig_rodcliffe,Roger Radcliffe,2,,,
fig_roo,Roo,2,,,
fig_ropoclo,Roly Poly Clown,2,,,
fig_sanfranokyo,San Fransokyo,4,,,
fig_scar,Scar,2,,,
fig_scenejungle,Scenery of a jungle,2,,,
fig_scenestreet,Scenery of a street,2,,,
fig_scents,Despiting scents,4,,,
fig_scottbbles,Silvermist,2,,,
fig_sdflower,Sun-Drop Flower,2,,,
fig_sebastian,Sebastian,2,,,
fig_sherwoopri,Sheriff Woody Pride,2,,,
fig_shiparendelle,Ship from Arendelle,4,,,
fig_snwhite,Snow White,2,,,
fig_spaghetti,Spaghetto Scene,4,,,
fig_spinwheel,Spinning wheel,4,,,
fig_splodylow,Splodyheads Pillow,4,,,
fig_stanlee,Stan Lee,2,,,
fig_stegorus,Stegosaurus,2,,,
fig_stitch,Stitch,2,,,
fig_stormtroopers,Stormtroopers,2,,,
fig_sully,Sully,2,,,
fig_sunny,Sunnyside Daycare playground,4,,,
fig_sven,Sven,2,,,
fig_tangmov,Tangled cover,4,,,
fig_tape,DunBroch Family Tapestry,4,,,
fig_thadtoad,J. Thaddeus Toad,2,,,
fig_thedogwagon,The dog wagon,2,,,
fig_thedoknob,The Doorknob,2,,,
fig_thegshanti,Shanti,2,,,
fig_theheadhorse,The Headless Horseman's Horse,2,,,
fig_thehundogs,The Hunter Dogs,2,,,
fig_theking,The King,2,,,
fig_thelostboy,The Lost Boys,2,,,
fig_themacarpet,The Magic Carpet,2,,,
fig_themamirror,The Magic Mirror,2,,,
fig_themb,Magic Broom,2,,,
fig_thevulturessnow,The Vultures,2,,,
fig_tiana,Tiana,2,,,
fig_tictoccrocdile,Tick-Tock the Crocodile,2,,,
fig_tigger,Tigger,2,,,
fig_tiggermv,The Tigger Movie,1,,,
fig_timon,Timon,2,,,
fig_tinkerbell,Tinker Bell,2,,,
fig_towser,Towser,2,,,
fig_tract,Tractors,2,,,
fig_tramp,Tramp,2,,,
fig_trex,T-Rex,2,,,
fig_tugduck,Ugly Duckling,2,,,
fig_tujustrsign,Tujunga street sign,4,,,
fig_vixey,Vixey,2,,,
fig_vladimir,Vladimir,2,,,
fig_walle,Wall-E,2,,,
fig_wardrobe,Wardrobe,4,,,
fig_winniethepooh,Winnie the Pooh,2,,,
fig_woody,Woody,2,,,
fig_wreckitralph,Wreck-It Ralph,2,,,
fig_wreckralphcover,Wreck-It Ralph cover,4,,,
fig_yoda,Yoda,2,,,
mv_101dal61,101 Dalmatians '61,1,8,1961,215880014
mv_abuli,A Bug's Life,1,3,1998,363300000
mv_alad,Aladdin '92,1,2,1992,504100000
mv_alad19,Aladdin '19,1,2,2019,1047000000
mv_alad2,Aladdin and the King of Thieves,1,2,1996,0
mv_alice,Alice in Wonderland,1,8,1951,5600000
mv_aristo,The Aristocats,1,8,1970,55675257
mv_bambi,Bambi '42,1,8,1942,267400000
mv_bambi2,Bambi II,1,2,2006,34900000
mv_batb,Beauty and the Beast,1,2,1991,425000000
mv_bedtime,Bedtime Stories,1,2,2008,212900000
mv_bh6,Big Hero 6 Film,1,2,2014,657800000
mv_blcaul,The Black Cauldron,1,8,1985,21288692
mv_bolt,Bolt Film,1,2,2008,310000000
mv_brave,Brave,1,3,2012,540400000
mv_brbear,Brother Bear,1,2,2003,250400000
mv_cars,Cars,1,3,2006,462200000
mv_cars2,Cars2,1,3,2011,562100000
mv_cars3,Cars3,1,3,2017,383900000
mv_cbears,The Country Bears,1,1,2002,18012097
mv_chlit,Chicken Little,1,2,2005,314400000
mv_chrrob,Christopher Robin Film,1,1,2019,197000000
mv_cind,Cinderella '50,1,8,1950,263000000
mv_coco,Coco,1,3,2017,807100000
mv_donlamp,Donald's Lamp Trade,1,2,2001,0
mv_dory,Finding Dory,1,3,2016,1029000000
mv_doug,Doug's 1st Movie,1,2,1999,19400000
mv_ducktls,DuckTales: The Movie – Treasure of the Lost Lamp,1,2,1990,18100000
mv_dumbo,Dumbo Film,1,8,1941,1600000
mv_elhol,Electric Holiday,1,2,2012,0
mv_emojii,As Told by Emojii,1,2,2015,0
mv_fant,Fantasia,1,8,1952,76400000
mv_fant2,Fantasia 2000,1,1,1999,92977226
mv_flubber,Flubber,1,1,1997,178000000
mv_foxho,The Fox and the Hound,1,8,1981,63456988
mv_friendrat,Your friend the Rat,1,4,2014,0
mv_frozen,Frozen,1,2,2013,1276000000
mv_frozen2,Frozen2,1,2,2019,0
mv_frween,Frankenweenie,1,1,2012,81500000
mv_funff,Fun and Fancy Free,1,8,1947,3165000
mv_gepetto,Gepetto (Film),1,99,2000,0
mv_gigantic,Gigantic,1,2,2008,165888
mv_goofy,A Goofy Movie,1,2,1995,35300000
mv_guards,Guardians of the Galaxy,1,4,2014,773300000
mv_hbnd,The Hunchback of Notre Dame,1,2,1996,325300000
mv_heffalump,Pooh’s Heffalump Movie,1,2,2005,52900000
mv_hercules,Hercules,1,2,1997,252712101
mv_herdty,Hero's Duty (Film),99,99,2012,0
mv_housemouse,House of Mouse,1,2,2002,0
mv_ichtoad,Ichabod and Mr. Toad,1,8,1946,1625000
