from,to,Type,Von Film,zu Mitarbeiter
di_aabl,mv_brbear,6,Brother Bear,Aaron Blaise
di_adsh,mv_bedtime,6,Bedtime Stories,Adam Shankman
di_alma,mv_ouach,6,Mickey's Once upon a Christmas,Alex Mann
di_alrr,mv_wondersdeep,6,Wonders of the Deep,Alonso Ramirez Ramos
di_alza,mv_jafar,6,The Return of Jafar,Alan Zaslove
di_anle,mv_lands2,6,Lilo & Stitch 2,Anthony Leondis
di_anml,mv_toystterr,6,Toy Story of Terror,Angus MacLane
di_anst,mv_dory,6,Finding Dory,Andrew Stanton
di_anst,mv_nemo,6,Finding Nemo,Andrew Stanton
di_arst,mv_foxho,6,The Fox and the Hound,Art Stevens
di_arst,mv_resc,6,The Rescuers,Art Stevens
di_baco,mv_mulan,6,Mulan,Barry Cook
di_besh,mv_dumbo,6,Dumbo,Ben Sharpsteen
di_besh,mv_fant,6,Fantasia,Ben Sharpsteen
di_besh,mv_pinocchio,6,Pinocchio,Ben Sharpsteen
di_besh,mv_snow,6,Snow White and the Seven Dwarfs,Ben Sharpsteen
di_biro,mv_bambi,6,Bambi,Bill Roberts
di_biro,mv_dumbo,6,Dumbo,Bill Roberts
di_biro,mv_fant,6,Fantasia,Bill Roberts
di_biro,mv_funff,6,Fun and Fancy Free,Bill Roberts
di_biro,mv_pinocchio,6,Pinocchio,Bill Roberts
di_biro,mv_salam,6,Saludos Amigos,Bill Roberts
di_biro,mv_thrcab,6,The Three Caballeros,Bill Roberts
di_bisp,mv_ouach,6,Mickey's Once upon a Christmas,Bill Speers
di_boga,mv_planefr,6,Planes: Fire & Rescue,Bobs Gannaway
di_boga,mv_stitch,6,Stitch! The Movie,Bobs Gannaway
di_boha,mv_ducktls,6,DuckTales: The Movie – Treasure of the Lost Lamp,Bob Hathcock
di_brabi,mv_jjatt,6,Jack-Jack-Attack,Brad Bird
di_brabi,mv_ratatou,6,Ratatouille,Brad Bird
di_brabi,mv_inc,6,The Incredibles,Brad Bird
di_brabi,mv_inc2,6,The Incredibles 2,Brad Bird
di_brabi,mv_irongiant,6,The Iron Giant,Brad Bird
di_brch,mv_brave,6,Brave,Brenda Chapman
di_brfe,mv_cars3,6,Cars3,Brian Fee
di_brle,mv_cars2,6,Cars2,Brad Lewis
di_brpi,mv_bambi2,6,Bambi II,Brian Pimental
di_brra,mv_ouach,6,Mickey's Once upon a Christmas,Bradley Raymond
di_brra,mv_liki2,6,The Lion King 1/1/2,Bradley Raymond
di_brsm,mv_tlmm2,6,The little Mermaid II,Brian Smith
di_buma,mv_tgmouse,6,The Great Mouse Detective,Burny Mattinson
di_byho,mv_bolt,6,Bolt,Byron Howard
di_byho,mv_tang,6,Tangled,Byron Howard
di_byho,mv_zoo,6,Zootopia,Byron Howard
di_chbu,mv_frozen,6,Frozen,Chris Buck
di_chbu,mv_frozen2,6,Frozen2,Chris Buck
di_chbu,mv_tarzan,6,Tarzan,Chris Buck
